Question,Template
How many flags are by the building's entrance? <extra_id_0>,There are [mask] flags.
Is the clock between two arches? <extra_id_0>,The clock is between two arches.
Are there any entrance gates at the bottom of the tower? <extra_id_0>,There are no entrance gates.
Is the building a high rise? <extra_id_0>,The building is a high rise.
Is part of this tower made of wood? <extra_id_0>,This tower is made of wood.
Can the tree tell time? <extra_id_0>,The tree can tell time.
How many windows are shown? <extra_id_0>,There are [mask] windows shown.
How many windows are pictured? <extra_id_0>,There are [mask] windows.
Is the emblem a sun face clock? <extra_id_0>,The emblem is a sun face clock.
What is the woman doing in this photo? <extra_id_0>,The woman is doing [mask].
What are the sheep standing on? <extra_id_0>,The sheep are standing on [mask].
What is the woman feeding the animal? <extra_id_0>,The woman is feeding [mask].
How many sheep can you see? <extra_id_0>,There are [mask] sheep.
Is the ram's fleece dirty? <extra_id_0>,The ram's fleece is dirty.
Is there a travel guide on the table? <extra_id_0>,This travel guide is on the table.
What color plate is this? <extra_id_0>,The color of the plate is [mask].
What type of silverware is on the plates? <extra_id_0>,The silverware on the plates is [mask].
What color are the skis? <extra_id_0>,The skis are [mask].
Is there snow? <extra_id_0>,The sky is white.
What is the man holding in his left hand? <extra_id_0>,The man is holding [mask].
What is the color of the zipper? <extra_id_0>,The color of the zipper is [mask].
Are the boots a solid color or patterned? <extra_id_0>,The boots are a solid color.
How many people are there? <extra_id_0>,There are [mask] people there.
Is it summer? <extra_id_0>,The sky is blue.
What color is the man's hat? <extra_id_0>,The color of the man's hat is [mask].
How many people are in the image? <extra_id_0>,There are [mask] people in the image.
What color is the woman's shorts? <extra_id_0>,The color of the woman's shorts is [mask].
Is the picture in color? <extra_id_0>,The picture is in color.
Is there a dog in the photo? <extra_id_0>,This photo does not contain a dog.
Is the dog on a leash? <extra_id_0>,The dog is on a leash.
What are the people doing in the street? <extra_id_0>,The people are doing [mask].
What is floating near the bird? <extra_id_0>,The bird is floating near [mask].
Are all of the birds in flight? <extra_id_0>,All of the birds are in flight.
How many birds are there? <extra_id_0>,There are [mask] birds.
Are there three birds in the picture? <extra_id_0>,There are three birds in the picture.
Is this a dog? <extra_id_0>,This is a dog.
Is this a winter scene? <extra_id_0>,This is a winter scene.
Is the water frozen? <extra_id_0>,The water is frozen.
Why are there so many clothes on the bed? <extra_id_0>,The clothes are so many because [mask].
Is that a laptop on the chair? <extra_id_0>,This is a laptop.
What color is the girl's hair? <extra_id_0>,The girl's hair is [mask].
What brand of soda is advertised? <extra_id_0>,The brand of soda is [mask].
Is Cingular a sponsor of this field? <extra_id_0>,This field is sponsored by Cingular.
What Mexican food restaurant chain is advertised? <extra_id_0>,The Mexican food restaurant chain is [mask].
How is the turnout?,<BLANK>
How is the turnout? <extra_id_0>,The turnout is [mask].
How many men are playing baseball? <extra_id_0>,There are [mask] men playing baseball.
What is the large sculpture next to the oversized cola bottle? <extra_id_0>,The sculpture is [mask].
What color is the catcher's pants? <extra_id_0>,The color of the catcher's pants is [mask].
How many pots are hanging under the shelf? <extra_id_0>,There are [mask] pots hanging.
What time is it? <extra_id_0>,It is [mask].
Is this a conventional kitchen? <extra_id_0>,This is a conventional kitchen.
What color flowers are on the top right? <extra_id_0>,The flowers on the top right are [mask].
Is the area lit? <extra_id_0>,The area is lit.
Where was this shot at? <extra_id_0>,The shot was taken at [mask].
Are the vases identical? <extra_id_0>,The vases are identical.
Are these the normal size pieces of pizza? <extra_id_0>,These are the normal size pieces of pizza.
Could you eat all of this pizza? <extra_id_0>,This pizza is too big.
Is there broccoli on a slice of pizza? <extra_id_0>,There is broccoli on a slice of pizza.
What color is the cloth? <extra_id_0>,The color of the cloth is [mask].
How many zebras are there? <extra_id_0>,There are [mask] zebras.
What continent might this be? <extra_id_0>,The continent is [mask].
Is there an animal that seems to stick out? <extra_id_0>,This animal seems to stick out.
Is this in a zoo? <extra_id_0>,This animal is not in a Zoo.
Is this in a desert? <extra_id_0>,This is in a desert.
What type of fruit is on the plate? <extra_id_0>,The fruit on the plate is [mask].
Is this a banana toast? <extra_id_0>,This is a banana toast.
What color is the milk carton? <extra_id_0>,The milk carton is [mask].
Are the people playing a game? <extra_id_0>,The people are playing a game.
Is the TV turned on? <extra_id_0>,The TV is turned on.
Is this person watching a movie? <extra_id_0>,This person is watching a movie.
What is in the blue chair? <extra_id_0>,The blue chair is [mask].
What type of footwear is the person wearing? <extra_id_0>,The person is wearing [mask].
What are the animals doing? <extra_id_0>,The animals are doing [mask].
Is one of the giraffes eating? <extra_id_0>,This animal is eating.
What type of animal is in the picture? <extra_id_0>,The animal in the picture is [mask].
Is it daytime? <extra_id_0>,It is daytime.
Are the kickstands down? <extra_id_0>,The kickstands are down.
Do you see any motorcycle helmets? <extra_id_0>,No motorcycle helmets are visible.
Is the kite high in the air? <extra_id_0>,The kite is high in the air.
Is the sky clear? <extra_id_0>,The sky is clear.
What color is the building? <extra_id_0>,The color of the building is [mask].
Are the people flying kites? <extra_id_0>,The people are flying kites.
Which buses are double deckers? <extra_id_0>,Which buses are double deckers?
What kind of court is at the edge of the field? <extra_id_0>,The court is [mask].
Can you see any fish? <extra_id_0>,Can you see any fish?
Is this man swimming? <extra_id_0>,This man is swimming.
Is he turning? <extra_id_0>,He is turning.[mask].
Does the man have short hair? <extra_id_0>,The man has short hair.
What is this man laying on? <extra_id_0>,The man is lying on [mask].
What color is this girl's shirt? <extra_id_0>,The color of this girl's shirt is [mask].
What color is the girls hot dog? <extra_id_0>,The color of the girls hot dog is [mask].
What color are the girl's lips? <extra_id_0>,The color of the girl's lips is [mask].
What does the front of the bus say at the top? <extra_id_0>,The front of the bus says [mask].
Is the bus featured in this picture typical? <extra_id_0>,This bus is typical.
What color is the school bus? <extra_id_0>,The color of the school bus is [mask].
Is this the latest make and model? <extra_id_0>,This is the latest make and model.
What color is the bus? <extra_id_0>,The color of the bus is [mask].
Are there any building in the area? <extra_id_0>,There are no buildings in the area.
Is there a fence in the background? <extra_id_0>,The fence is not visible.
How many zebras can you see eating? <extra_id_0>,There are [mask] zebras.
How many kinds of animals are in this photo? <extra_id_0>,There are [mask] different kinds of animals.
Is the zebra's tail up? <extra_id_0>,The zebra's tail is up.
How many different types of animals are in this scene? <extra_id_0>,There are [mask] different types of animals.
What direction are the animals heading? <extra_id_0>,The animals are heading in [mask].
Are they the same type of animal? <extra_id_0>,They are not the same type of animal.
Is the zebra walking or standing still? <extra_id_0>,The zebra is standing still.
Are all zebras facing the same way? <extra_id_0>,All zebras are facing the same way.
How many animals are there? <extra_id_0>,There are [mask] animals.
Are the zebras running? <extra_id_0>,The zebras are running.
Who is in the photo? <extra_id_0>,[mask] is in the photo.
Number of animals?,<BLANK>
Number of animals? <extra_id_0>,[mask] is counting the animals.
Is he going to fall? <extra_id_0>,He is going to fall.
What color are the stakes in the dirt? <extra_id_0>,The stakes in the dirt are [mask].
What color shirt is the man standing in the background wearing? <extra_id_0>,The man is wearing [mask].
How many arrows can be seen? <extra_id_0>,There are [mask] arrows.
How many stripes are at the bottom of the picture? <extra_id_0>,There are [mask] stripes.
Are the traffic lights facing the same direction? <extra_id_0>,The traffic lights are facing the same direction.
Is this cake made with fondant? <extra_id_0>,This cake is made with fondant.
Where is the cupcake? <extra_id_0>,The cupcake is in [mask].
What is on the plate? <extra_id_0>,The plate is [mask].
What are the pink pieces of paper called? <extra_id_0>,The pink pieces of paper are [mask].
What kind of nut is shown? <extra_id_0>,The nut is [mask].
What is the green stuff? <extra_id_0>,The green stuff is [mask].
Is this a finger food or dish? <extra_id_0>,This food is a finger food.
What ICING IS USED ON THIS CAKE? <extra_id_0>,The icing is [mask].
Is there a fork on the plate? <extra_id_0>,There is no fork.
Is this black and white? <extra_id_0>,This is black and white.
What is the figure on the cupcake? <extra_id_0>,The figure on the cupcake is [mask].
What flavor is the cupcake? <extra_id_0>,The cupcake is [mask].
What is the woman doing? <extra_id_0>,The woman is doing [mask].
Is a military person in the picture? <extra_id_0>,This is a military person.
Are they smiling? <extra_id_0>,They are smiling.[mask].
How many potted plants do you see? <extra_id_0>,There are [mask] potted plants.
How many chairs are there? <extra_id_0>,There are [mask] chairs.
Is this an old building? <extra_id_0>,This building is old.
What room is this? <extra_id_0>,The room is [mask].
Is the room almost full? <extra_id_0>,The room is almost full.
Where was this picture taken? <extra_id_0>,The picture was taken in [mask].
How many kids in this photo? <extra_id_0>,There are [mask] kids in this photo.
Are the people on a soft surface? <extra_id_0>,The people are on a soft surface.
How many animals? <extra_id_0>,There are [mask] animals.
What color are the majority of sheep? <extra_id_0>,The majority of sheep are [mask].
Has the grass been mowed recently? <extra_id_0>,The grass has not been mowed.
What kind of animals are in there? <extra_id_0>,The animals in there are [mask].
Is this scene in America? <extra_id_0>,This scene is in America.
What is the boy doing? <extra_id_0>,The boy is doing [mask].
Are all the laptops on? <extra_id_0>,All the laptops are on.
How many laptops are on the coffee table? <extra_id_0>,There are [mask] laptops.
Where is the laptop? <extra_id_0>,The laptop is in [mask].
What animal is on the walls? <extra_id_0>,The animal on the walls is [mask].
Is this a hotel room? <extra_id_0>,This hotel room is not.
Where are the two upside down glasses? <extra_id_0>,The two upside down glasses are in [mask].
Is this a hotel? <extra_id_0>,This hotel is not a hotel.
Is an elephant walking down the street? <extra_id_0>,This elephant is walking down the street.
Is the guy in the yellow shirt wearing a tie? <extra_id_0>,The guy in the yellow shirt is wearing a tie.
How many people are in the picture? <extra_id_0>,There are [mask] people in the picture.
Is this a church? <extra_id_0>,This church is not a church.
Sunny or overcast?,<BLANK>
Sunny or overcast? <extra_id_0>,Sunny or overcast.
Is there snow in the picture? <extra_id_0>,The picture is not snow.
What is the color of the roof shingles? <extra_id_0>,The roof shingles are [mask].
What symbol sits atop the tower? <extra_id_0>,The symbol sits atop the tower.
Is there a clock on the church tower? <extra_id_0>,The church tower is not visible.
Is there a clock? <extra_id_0>,There is no clock.
Is this person wearing a backpack? <extra_id_0>,This person is wearing a backpack.
Is there a street light in the photo? <extra_id_0>,The sky is blue.
Is the sun up? <extra_id_0>,The sun is up.
What is the grate for? <extra_id_0>,The grate is for [mask].
Is the oven on? <extra_id_0>,The oven is on.
Is there a window in this scene? <extra_id_0>,There is no window.
What kind of siding is on this house? <extra_id_0>,The siding on this house is [mask].
Is this toast done? <extra_id_0>,This toast is done.
How many knobs are there? <extra_id_0>,There are [mask] knobs.
Is the microwave on? <extra_id_0>,The microwave is on.
Is the toaster on? <extra_id_0>,The toaster is on.
What color are the flowers? <extra_id_0>,The color of the flowers is [mask].
What time is it? <extra_id_0>,It is [mask].
What is the brown object with a clock on it? <extra_id_0>,The brown object with a clock is [mask].
How many buses are there? <extra_id_0>,There are [mask] buses.
Is this a one way street? <extra_id_0>,This street is one way.
Are there people boarding the bus? <extra_id_0>,There are people boarding the bus.
What color is the bus? <extra_id_0>,The color of the bus is [mask].
What number bus is this? <extra_id_0>,The number of the bus is [mask].
Where is the open door? <extra_id_0>,The open door is in [mask].
Is there a hardware store in the area? <extra_id_0>,This area has a hardware store.
How many decks does this bus have? <extra_id_0>,There are [mask] decks.
Are the drying the animal with a blow dryer? <extra_id_0>,This animal is not drying.
What color are the girls earrings? <extra_id_0>,The girls earrings are [mask].
What is the woman holding? <extra_id_0>,The woman is holding [mask].
What kind of vehicle is the yellow one? <extra_id_0>,The yellow one is [mask].
How many windows? <extra_id_0>,There are [mask] windows.
Is this a hotel? <extra_id_0>,This hotel is not a hotel.
Can you see the man's shadow? <extra_id_0>,The man's shadow is visible.
Is this lacrosse? <extra_id_0>,This is lacrosse.
The color of the court is green?,<BLANK>
The color of the court is green? <extra_id_0>,The color of the court is green.
What color is the plate? <extra_id_0>,The color of the plate is [mask].
Who is going to eat this pizza? <extra_id_0>,[mask] is eating this pizza.
Is this pizza nutritious enough to eat for a full dinner? <extra_id_0>,This pizza is nutritious enough.
What shape is at the bottom of the pole? <extra_id_0>,The shape of the pole is [mask].
Are both beds made? <extra_id_0>,Both beds are made.
Is there a ladder in the picture? <extra_id_0>,There is no ladder in the picture.
How many steps does it take to get to the top? <extra_id_0>,There are [mask] steps.
What type of bed is in the picture? <extra_id_0>,The bed is [mask].
Is this vehicle parked in a residential driveway? <extra_id_0>,This vehicle is parked in residential driveway.
Is the color of the car very common for vehicles? <extra_id_0>,The color of the car is blue.
What color is the car? <extra_id_0>,The color of the car is [mask].
What is he cooking? <extra_id_0>,The man is cooking [mask].
Where are the buns? <extra_id_0>,The buns are in [mask].
Why is the man cooking so many hot dogs? <extra_id_0>,The man is cooking so many hot dogs because [mask].
Is this a new or ancient clock? <extra_id_0>,This clock is old.
What time does the clock read? <extra_id_0>,The clock reads [mask].
Are all the people looking at the same thing? <extra_id_0>,The sky is blue.
Do these ski boards have personality? <extra_id_0>,These ski boards have personality.
How many ski boards are in the picture? <extra_id_0>,There are [mask] ski boards.
What mountain was this taken at? <extra_id_0>,The mountain was taken at [mask].
What is the black thing he is wearing? <extra_id_0>,The black thing is [mask].
What kind of room is this? <extra_id_0>,The room is [mask].
What is the man doing in the picture? <extra_id_0>,The man is doing [mask].
What is the cartoon man presenting to the cartoon woman? <extra_id_0>,The cartoon woman is presenting [mask].
What color is the sign? <extra_id_0>,The color of the sign is [mask].
What does the sign with the white arrow say? <extra_id_0>,The sign with the white arrow says [mask].
Which way can you not turn? <extra_id_0>,The [mask] way can you not turn.
"What is above the ""No Left Turn"" sign? <extra_id_0>",The sign is above [mask].
Is the woman wearing a dress? <extra_id_0>,The woman is wearing a dress.
Are they playing a game? <extra_id_0>,They are playing a game.
Will the bent person fall forward? <extra_id_0>,The bent person will fall forward.
Is there a man and a woman? <extra_id_0>,There is a man and a woman.
Is this photo to blurry? <extra_id_0>,This photo is blurry.
Would you get a ticket if you disobeyed this sign? <extra_id_0>,This sign is not visible.
Is the red stop sign on a wooden pole? <extra_id_0>,The red stop sign is red.
What is the sign says? <extra_id_0>,The sign says [mask].
Can you see the sun in the picture? <extra_id_0>,The sun is not visible.
Which baby is still an infant? <extra_id_0>,The [mask] baby is still an infant.
How many blue stripes are on the babies shirt? <extra_id_0>,There are [mask] blue stripes.
Are they twins? <extra_id_0>,They are twins.
Is one of the children a boy? <extra_id_0>,One of the children is a boy.
How many babies are in this photo? <extra_id_0>,There are [mask] babies in this photo.
Are these teenagers? <extra_id_0>,These teenagers are not teenagers.
Are both of the children smiling? <extra_id_0>,Both of the children are smiling.
What color is the girl's brush? <extra_id_0>,The color of the girl's brush is [mask].
What gender are both of the children likely to be? <extra_id_0>,The children are likely to be [mask].
What color is the comb? <extra_id_0>,The color of the comb is [mask].
Is this child wearing socks? <extra_id_0>,This child is wearing socks.
What is the one girl doing to the other girl's hair? <extra_id_0>,The one girl is doing [mask].
Where is the table lamp? <extra_id_0>,The table lamp is in [mask].
Something new to wear with a men's shirt?,<BLANK>
Something new to wear with a men's shirt? <extra_id_0>,Something new to wear with a men's shirt?
Is the man's shirt a solid color? <extra_id_0>,The man's shirt is solid.
What is this person holding? <extra_id_0>,The person is holding [mask].
What color is the table? <extra_id_0>,The color of the table is [mask].
Where is the cup? <extra_id_0>,The cup is in [mask].
How much did they pay for the hot dogs?,<BLANK>
How much did they pay for the hot dogs? <extra_id_0>,The price of the hot dogs is [mask].
What is in the man's hand? <extra_id_0>,The man's hand is [mask].
How many balls are on the ground? <extra_id_0>,There are [mask] balls on the ground.
Is this man tan? <extra_id_0>,This man is tan.
The tablecloths are white?,<BLANK>
The tablecloths are white? <extra_id_0>,The tablecloths are white.
What silverware is on the table? <extra_id_0>,The silverware on the table is [mask].
Where do you think all these are located? <extra_id_0>,The answer is [mask].
What color is the knife handle? <extra_id_0>,The color of the knife handle is [mask].
Are the pictures colorful? <extra_id_0>,The pictures are colorful.
Do you a mirror in the background? <extra_id_0>,This is a mirror.
How many glasses are there? <extra_id_0>,There are [mask] glasses.
Is there food on the table? <extra_id_0>,There is food on the table.
Where is the room? <extra_id_0>,The room is in [mask].
What type of animal is it? <extra_id_0>,The animal on the beach is [mask].
Where is the cat? <extra_id_0>,The cat is in [mask].
Is there a pillow present in the picture? <extra_id_0>,This pillow is not present.
What color eyes does the cat have? <extra_id_0>,The cat has [mask].
Is she wearing a bathing suit? <extra_id_0>,She is wearing a bathing suit.
What color is the umbrella? <extra_id_0>,The color of the umbrella is [mask].
Why is the girl holding an umbrella? <extra_id_0>,The girl is holding an umbrella because [mask].
How many horses are on the picture? <extra_id_0>,There are [mask] horses on the picture.
How many horses are in the picture? <extra_id_0>,There are [mask] horses in the picture.
Are they surrounded by trees? <extra_id_0>,This animal is surrounded by trees.
Is there a puddle of water on the dirt? <extra_id_0>,The dirt is wet.
What is the man standing on? <extra_id_0>,The man is standing on [mask].
Are these men on a boat? <extra_id_0>,These men are on a boat.
What color is the man's skin? <extra_id_0>,The color of the man's skin is [mask].
What are these men standing in front of? <extra_id_0>,The men are standing in front of [mask].
What is the temperature outside? <extra_id_0>,The temperature outside is [mask].
Are the boys happy? <extra_id_0>,The boys are happy.
Is the man in the forefront trying to get signal on a cell phone? <extra_id_0>,The man in the forefront is not.
What is this person standing on? <extra_id_0>,The person is standing on [mask].
Were people moving when this picture was taken?,<BLANK>
Were people moving when this picture was taken? <extra_id_0>,The picture was taken at [mask].
What is lying on the ground? <extra_id_0>,The animal on the ground is [mask].
What is flying in the air? <extra_id_0>,The flying bird is [mask].
What brand of shoes is the skateboarder wearing? <extra_id_0>,The skateboarder is wearing [mask].
Was this photo taken recently? <extra_id_0>,This photo was taken recently.
Is this  a beach? <extra_id_0>,This beach is not a beach.
Is the guy making a performance? <extra_id_0>,The guy is making a performance.
Is he doing a trick? <extra_id_0>,This animal is doing a trick.
Is the man in the foreground barefooted? <extra_id_0>,The man is barefooted.
Is this busy metropolis? <extra_id_0>,This busy metropolis is busy.
What is the man on a skateboard? <extra_id_0>,The man on a skateboard is [mask].
Which man is controlling the kite? <extra_id_0>,The [mask] man is controlling the kite.
Are there waves in the picture? <extra_id_0>,There are waves in the picture.
What type of clouds are visible in this photo? <extra_id_0>,The clouds are [mask].
What is the man doing? <extra_id_0>,The man is doing [mask].
Is the person on the right male or female? <extra_id_0>,The person on the right is male.
What object is painted on the surfboard? <extra_id_0>,The object on the surfboard is [mask].
What color is the shirt of the man standing? <extra_id_0>,The shirt of the man standing is [mask].
What color is the board? <extra_id_0>,The color of the board is [mask].
How many kids? <extra_id_0>,There are [mask] kids.
What colors are in the kite? <extra_id_0>,The kite is [mask].
Did the man just steal the boy's kite? <extra_id_0>,The man stole the boy's kite.
What color is the train's bumper? <extra_id_0>,The color of the train's bumper is [mask].
Is this a steam engine train? <extra_id_0>,This is a steam engine train.
What does the train ride along? <extra_id_0>,The train ride along is [mask].
What is turned on? <extra_id_0>,The light is on [mask].
What is the name of the yellow fruit pictured? <extra_id_0>,The name of the yellow fruit is [mask].
Why would someone not like the fruit at the front? <extra_id_0>,The fruit at the front is [mask].
What color dresses are the women wearing? <extra_id_0>,The women are wearing [mask].
Are the umbrellas wet? <extra_id_0>,The umbrellas are wet.
How many black umbrellas? <extra_id_0>,There are [mask] black umbrellas.
Which vehicle is the smallest? <extra_id_0>,The [mask] vehicle is the smallest.
Is there snow on the ground? <extra_id_0>,The ground is snowy.
How many skis are on the ground? <extra_id_0>,There are [mask] skis on the ground.
What kind of pizza is this? <extra_id_0>,The pizza is [mask].
Does this oven look new? <extra_id_0>,This oven looks new.
Does the oven have a digital buttons? <extra_id_0>,This oven does not have digital buttons.
Is this oven greasy? <extra_id_0>,This oven is greasy.
Is the pizza on a baking tray? <extra_id_0>,The pizza is on a baking tray.
Do you like chocolate cake? <extra_id_0>,This food is chocolate cake.
What color is the plate? <extra_id_0>,The color of the plate is [mask].
What is this cake made with? <extra_id_0>,The cake is made with [mask].
What shape are the plates? <extra_id_0>,The shape of the plates is [mask].
Are there any water glasses on the table? <extra_id_0>,There are no water glasses.
What indicates that this is for a party? <extra_id_0>,The party is for [mask].
Are there tomatoes on the pizza? <extra_id_0>,There are tomatoes on the pizza.
What two utensils are next to the plate? <extra_id_0>,The two utensils are [mask].
Are there any people in the picture? <extra_id_0>,There are no people in the picture.
Can they go? <extra_id_0>,Can they go? [mask].
Are the cars parked? <extra_id_0>,The cars are parked.
Why is the top light on? <extra_id_0>,The top light is on because [mask].
How lucky is it that no one was walking on the sidewalk at that time?,<BLANK>
How lucky is it that no one was walking on the sidewalk at that time? <extra_id_0>,The food is warm because [mask].
What traffic light is on? <extra_id_0>,The traffic light is on [mask].
Are all the players wearing black shirts? <extra_id_0>,All the players are wearing black shirts.
What number does the battery have on his shirt? <extra_id_0>,The battery has [mask].
What team is the batter from? <extra_id_0>,The batter is from [mask].
How many water jugs are visible? <extra_id_0>,There are [mask] water jugs visible.
What color is the picket fence? <extra_id_0>,The color of the picket fence is [mask].
How many trains are there? <extra_id_0>,There are [mask] trains.
Is one of the trains going through a tunnel? <extra_id_0>,This train is going through a tunnel.
Who is the woman the picture on wall? <extra_id_0>,The woman is [mask].
Is the door open? <extra_id_0>,The door is open.
Is the man on TV wearing a tie? <extra_id_0>,The man on TV is wearing a tie.
What objects are directly above the TV set? <extra_id_0>,The objects are [mask].
Is everyone wearing glasses? <extra_id_0>,Everyone is wearing glasses.
What print is this woman's dress? <extra_id_0>,The print of this woman's dress is [mask].
Are both people of the same ethnic background? <extra_id_0>,Both people are of the same ethnic background.
The man is wearing a helmet?,<BLANK>
The man is wearing a helmet? <extra_id_0>,The man is wearing a helmet.
What is on the handlebars? <extra_id_0>,The handlebars are [mask].
What bird is on the man's bike? <extra_id_0>,The bird on the man's bike is [mask].
What color is this airplane? <extra_id_0>,The color of the airplane is [mask].
Who is the pilot? <extra_id_0>,[mask] is the pilot.
Is this a government official's plane? <extra_id_0>,This plane is a government official.
Are the kids sitting? <extra_id_0>,The kids are sitting.
How many kids are there? <extra_id_0>,There are [mask] kids.
Are these children playing a game? <extra_id_0>,These children are playing a game.
How many rocks? <extra_id_0>,There are [mask] rocks.
What is the fence made of? <extra_id_0>,The fence is made of [mask].
The zebras are in a field?,<BLANK>
The zebras are in a field? <extra_id_0>,The zebras are in a field.
How many zebras are there? <extra_id_0>,There are [mask] zebras.
How many floors do you think the highest building has? <extra_id_0>,There are [mask] floors.
Have you ever been to this intersection? <extra_id_0>,This intersection is not visible.
What is the name of the street that starts with a color? <extra_id_0>,The street that starts with [mask].
Are some of the trees dead? <extra_id_0>,Some of the trees are dead.
Are the rocks for the giraffe to sit on? <extra_id_0>,The rocks are not blue.
How can you tell the giraffe is in captivity?,<BLANK>
How can you tell the giraffe is in captivity? <extra_id_0>,The giraffe is captive.
What is the name of the store behind the lady? <extra_id_0>,The name of the store behind the lady is [mask].
What does the lady have in her mouth? <extra_id_0>,The lady has [mask].
What color is the woman's shirt? <extra_id_0>,The color of the woman's shirt is [mask].
Does someone have a green thumb? <extra_id_0>,This person has a green thumb.
Is the seedling a hybrid? <extra_id_0>,The seedling is a hybrid.
What are the popsicle sticks used for? <extra_id_0>,The popsicle sticks are used for [mask].
Why is the man in mid-air? <extra_id_0>,The man is in mid-air because [mask].
Is there a tent in the snow? <extra_id_0>,There is a tent in the snow.
What is the structure in the background? <extra_id_0>,The structure in the background is [mask].
What color is the lighted sign? <extra_id_0>,The lighted sign is [mask].
Is this terminal safe at night? <extra_id_0>,This terminal is safe at night.
Is the woman by herself? <extra_id_0>,The woman is by herself.
Is it a clear day? <extra_id_0>,The sky is clear.
What is this person doing? <extra_id_0>,This person is doing [mask].
What are these people doing? <extra_id_0>,The people are doing [mask].
What is the white structure behind the ramp? <extra_id_0>,The white structure behind the ramp is [mask].
Is this person prone on his back or on his knees? <extra_id_0>,This person is prone.
Is the skier on the ground? <extra_id_0>,The skier is on the ground.
Is the subject of the photo facing downhill? <extra_id_0>,The subject of the photo is facing downhill.
What kind of trees are in this photo? <extra_id_0>,The trees in this photo are [mask].
What is on the ground? <extra_id_0>,The ground is [mask].
What color is the surfboard? <extra_id_0>,The color of the surfboard is [mask].
What is the man wearing? <extra_id_0>,The man is wearing [mask].
Is this man attached to his surfboard? <extra_id_0>,This man is attached to his surfboard.
Is this man riding a surfboard? <extra_id_0>,This man is riding a surfboard.
Is he wearing the right type of suit? <extra_id_0>,This type of suit is blue.
Is the man riding a white board? <extra_id_0>,The man is riding a white board.
How many people are surfing? <extra_id_0>,There are [mask] people surfing.
Is the woman surfing? <extra_id_0>,The woman is surfing.
What kind of suit is he wearing? <extra_id_0>,The suit is [mask].
What sport are they playing? <extra_id_0>,The sport is [mask].
Color is the goaltenders shirt?,<BLANK>
Color is the goaltenders shirt? <extra_id_0>,The goaltenders shirt is [mask].
Where is number 8? <extra_id_0>,The number 8 is in [mask].
How many kids are wearing black and white? <extra_id_0>,There are [mask] kids wearing black and white.
Is the boy in the middle being attacked? <extra_id_0>,The boy in the middle is being attacked.
Does the boy have his head stuck in the net? <extra_id_0>,The boy has his head stuck in the net.
How many men are wearing hats? <extra_id_0>,There are [mask] men wearing hats.
Does the guy on the right look happy? <extra_id_0>,The guy on the right looks happy.
Are they coworkers or best friends? <extra_id_0>,They are best friends.
What is in the glass in the lower right? <extra_id_0>,The glass in the lower right is [mask].
The wall is made out of?,<BLANK>
The wall is made out of? <extra_id_0>,The wall is made out of [mask].
What does the sign in the background say? <extra_id_0>,The sign in the background says [mask].
What color is the bus in the mirror? <extra_id_0>,The bus in the mirror is [mask].
What is behind the mirror? <extra_id_0>,The mirror is behind [mask].
What kind of passenger does the bus carry? <extra_id_0>,The bus carries [mask].
How healthy does this meal look?,<BLANK>
How healthy does this meal look? <extra_id_0>,The meal looks like [mask].
Are there multiple vegetables on the plate? <extra_id_0>,There are multiple vegetables on the plate.
What meat is used in the main dish? <extra_id_0>,The meat in the main dish is [mask].
Is there meat on the plate? <extra_id_0>,There is no meat on the plate.
What is the man reaching for? <extra_id_0>,The man is reaching for [mask].
Is this a brand new phone? <extra_id_0>,This phone is brand new.
What kind of id is that? <extra_id_0>,The id is [mask].
What color is the phone? <extra_id_0>,The phone is [mask].
Does this phone fold closed? <extra_id_0>,This phone folds closed.
What language is the text on the sign? <extra_id_0>,The text on the sign is [mask].
How many holes are on the phone case? <extra_id_0>,There are [mask] holes.
What is the man holding? <extra_id_0>,The man is holding [mask].
What does this phone case look like? <extra_id_0>,The phone case looks like [mask].
What is the brand of the phone? <extra_id_0>,The brand of the phone is [mask].
Is the phone broken? <extra_id_0>,The phone is broken.
What does this controller go with? <extra_id_0>,The controller goes with [mask].
Is the phone light on? <extra_id_0>,The phone light is on.
Which hand is the person holding the phone in? <extra_id_0>,The [mask] hand is the person holding the phone in.
Is the display on? <extra_id_0>,The display is on.
Is the person using skype? <extra_id_0>,The person is using skype.
How many phones do you see? <extra_id_0>,There are [mask] phones.
Is the phone on? <extra_id_0>,The phone is on.
Is the background clear? <extra_id_0>,The background is clear.
What brand is the phone? <extra_id_0>,The phone is [mask].
What kind of phone is this? <extra_id_0>,The phone is [mask].
What is the person holding in their hand? <extra_id_0>,The person is holding [mask].
What is the person holding? <extra_id_0>,The person is holding [mask].
Is this an inside stadium? <extra_id_0>,This is an inside stadium.
Is the stadium crowded? <extra_id_0>,The stadium is crowded.
Is the stadium full? <extra_id_0>,The stadium is full.
Is there a baseball player holding a bat? <extra_id_0>,This baseball player is holding a bat.
Is this bathroom all white? <extra_id_0>,This bathroom is all white.
Has the bathroom been renovated recently? <extra_id_0>,The bathroom has been renovated recently.
What's on the other side of the shower curtain? <extra_id_0>,The other side of the shower curtain is [mask].
Are there towels on the ground? <extra_id_0>,There are towels on the ground.
What color is the shower curtain? <extra_id_0>,The color of the shower curtain is [mask].
Does this look clean? <extra_id_0>,This food looks clean.
Where is the shower located? <extra_id_0>,The shower is located in [mask].
Is the shower curtain open? <extra_id_0>,The shower curtain is open.
